reference,settled_at_utc,amount,status
TXNA0DFE6100713,2026-07-15 06:31:41,"8,54,002.68",SETTLED
TXNA0DFE6103470,2026-07-15 06:52:07,"3,96,551.78",SETTLED
TXNA0DFE6103082,2026-07-15 07:29:01,"8,75,166.31/-",SETTLED
TXNA0DFE6101907,2026-07-15 10:18:38,"Rs. 7,12,672.05",SETTLED
TXNA0DFE6103086,2026-07-15 07:11:08,"5,45,657.96",SETTLED
TXNA0DFE6350010,2026-07-15 18:54:28,"4,05,753.20",SETTLED
TXNA0DFE6101933,2026-07-15 04:42:52,"1,06,485.48/-",SETTLED
TXNA0DFE6103249,2026-07-15 12:49:09,"Rs. 7,21,823.01",SETTLED
TXNA0DFE6102716,2026-07-15 05:40:59,"7,03,955.42",SETTLED
TXNA0DFE6103673,2026-07-15 03:51:03,"2,86,983.95",SETTLED
TXNA0DFE6103770,2026-07-15 02:47:38,"4,87,884.34/-",SETTLED
TXNA0DFE6103136,2026-07-15 05:47:27,"Rs. 4,02,557.04",SETTLED
TXNA0DFE6103737,2026-07-15 09:52:07,"8,05,560.24",SETTLED
TXNA0DFE6100371,2026-07-15 11:43:31,"2,18,003.01",SETTLED
TXNA0DFE6350006,2026-07-15 19:44:40,"4,90,475.54/-",SETTLED
TXNA0DFE6102348,2026-07-15 12:26:48,"Rs. 6,56,210.18",SETTLED
TXNA0DFE6102308,2026-07-15 13:46:02,"7,99,186.95",SETTLED
TXNA0DFE6102622,2026-07-15 08:19:05,"47,182.32",SETTLED
TXNA0DFE6101392,2026-07-15 03:55:43,"5,91,638.69/-",SETTLED
TXNA0DFE6103054,2026-07-15 01:38:08,"Rs. 3,03,134.34",SETTLED
TXNA0DFE6100603,2026-07-15 05:50:43,"5,96,843.65",SETTLED
TXNA0DFE6101771,2026-07-15 03:46:41,"2,11,369.65",SETTLED
TXNA0DFE6102240,2026-07-15 13:46:52,"2,98,895.21/-",SETTLED
TXNA0DFE6103716,2026-07-15 04:55:19,"Rs. 7,74,736.77",SETTLED
TXNA0DFE6101113,2026-07-15 14:04:35,"2,67,749.36",SETTLED
TXNA0DFE6102447,2026-07-15 06:58:49,"2,68,886.94",SETTLED
TXNA0DFE6100757,2026-07-15 08:11:12,"2,07,545.66/-",SETTLED
TXNA0DFE6102190,2026-07-15 12:22:56,"Rs. 7,50,839.67",SETTLED
TXNA0DFE6102915,2026-07-15 03:15:38,"72,007.76",SETTLED
TXNA0DFE6102239,2026-07-15 05:11:05,"5,08,052.46",SETTLED
TXNA0DFE6103635,2026-07-15 11:06:59,"5,82,457.57/-",SETTLED
TXNA0DFE6103317,2026-07-15 13:16:38,"Rs. 4,45,396.13",SETTLED
TXNA0DFE6103188,2026-07-15 04:42:28,"1,33,299.86",SETTLED
TXNA0DFE6103138,2026-07-15 05:02:13,"1,82,624.90",SETTLED
TXNA0DFE6102455,2026-07-15 02:07:34,"4,48,743.80/-",SETTLED
TXNA0DFE6100773,2026-07-15 16:00:55,"Rs. 4,76,251.04",SETTLED
TXNA0DFE6101420,2026-07-15 01:28:39,"1,00,024.24",SETTLED
TXNA0DFE6102387,2026-07-15 08:36:47,"1,36,116.15",SETTLED
TXNA0DFE6100386,2026-07-15 07:24:19,"1,91,765.30/-",SETTLED
TXNA0DFE6101472,2026-07-15 06:23:37,"Rs. 8,30,108.19",SETTLED
TXNA0DFE6103213,2026-07-15 10:44:26,"2,94,467.22",SETTLED
TXNA0DFE6102403,2026-07-15 10:19:08,"2,79,905.85",SETTLED
TXNA0DFE6100235,2026-07-15 08:35:00,"7,79,948.33/-",SETTLED
TXNA0DFE6100012,2026-07-15 05:15:05,"Rs. 2,20,421.66",SETTLED
TXNA0DFE6100426,2026-07-15 08:15:11,"7,70,403.82",SETTLED
TXNA0DFE6102451,2026-07-15 09:59:10,"5,69,584.62",SETTLED
TXNA0DFE6103493,2026-07-15 04:04:02,"7,87,416.18/-",SETTLED
TXNA0DFE6101127,2026-07-15 09:07:11,"Rs. 68,916.73",SETTLED
TXNA0DFE6102993,2026-07-15 03:08:34,"5,76,129.64",SETTLED
TXNA0DFE6103679,2026-07-15 06:50:12,"7,21,837.60",SETTLED
TXNA0DFE6100771,2026-07-15 09:22:27,"4,33,832.74/-",SETTLED
TXNA0DFE6102633,2026-07-15 07:31:32,"Rs. 2,81,622.95",SETTLED
TXNA0DFE6100658,2026-07-15 06:57:30,"7,11,704.39",SETTLED
TXNA0DFE6101134,2026-07-15 11:20:56,"8,42,311.75",SETTLED
TXNA0DFE6102186,2026-07-15 04:17:48,"3,56,050.26/-",SETTLED
TXNA0DFE6102317,2026-07-15 09:24:27,"Rs. 6,50,261.26",SETTLED
TXNA0DFE6101946,2026-07-15 12:48:53,"7,26,544.30",SETTLED
TXNA0DFE6100998,2026-07-15 03:12:28,"4,32,638.56",SETTLED
TXNA0DFE6100186,2026-07-15 03:00:08,"5,49,231.80/-",SETTLED
TXNA0DFE6101597,2026-07-15 01:28:53,"Rs. 1,50,783.71",SETTLED
TXNA0DFE6101925,2026-07-15 11:32:02,"3,83,993.85",SETTLED
TXNA0DFE6102788,2026-07-15 11:20:56,"8,59,393.06",SETTLED
TXNA0DFE6102671,2026-07-15 13:04:30,"6,62,468.36/-",SETTLED
TXNA0DFE6103312,2026-07-15 14:23:16,"Rs. 4,01,206.92",SETTLED
TXNA0DFE6100437,2026-07-15 14:36:27,"7,78,282.48",SETTLED
TXNA0DFE6102744,2026-07-15 11:01:05,"7,26,331.22",SETTLED
TXNA0DFE6101382,2026-07-15 10:45:32,"6,106.11/-",SETTLED
TXNA0DFE6103358,2026-07-15 06:04:56,"Rs. 2,02,561.98",SETTLED
TXNA0DFE6100518,2026-07-15 10:33:56,"4,12,978.01",SETTLED
TXNA0DFE6102252,2026-07-15 14:43:17,"5,62,007.44",SETTLED
TXNA0DFE6103347,2026-07-15 13:22:41,"5,65,230.24/-",SETTLED
TXNA0DFE6100672,2026-07-15 15:42:02,"Rs. 5,57,142.34",SETTLED
TXNA0DFE6103486,2026-07-15 14:31:08,"5,83,966.29",SETTLED
TXNA0DFE6102827,2026-07-15 06:40:28,"1,31,704.29",SETTLED
TXNA0DFE6102295,2026-07-15 03:49:21,"1,01,316.67/-",SETTLED
TXNA0DFE6101752,2026-07-15 05:27:48,"Rs. 5,49,629.77",SETTLED
TXNA0DFE6102557,2026-07-15 05:15:38,"6,36,789.30",SETTLED
TXNA0DFE6101713,2026-07-15 10:39:40,"7,30,730.45",SETTLED
TXNA0DFE6100896,2026-07-15 05:11:38,"2,19,685.18/-",SETTLED
TXNA0DFE6100636,2026-07-15 05:43:52,"Rs. 4,60,568.41",SETTLED
TXNA0DFE6103167,2026-07-15 13:28:47,"2,13,914.45",SETTLED
TXNA0DFE6100828,2026-07-15 04:06:10,"2,61,451.37",SETTLED
TXNA0DFE6101808,2026-07-15 04:14:10,"3,71,913.03/-",SETTLED
TXNA0DFE6101559,2026-07-15 09:17:01,"Rs. 3,92,186.81",SETTLED
TXNA0DFE6103313,2026-07-15 09:35:49,"2,53,652.80",SETTLED
TXNA0DFE6101854,2026-07-15 14:51:49,"3,34,635.61",SETTLED
TXNA0DFE6102285,2026-07-15 14:38:35,"40,864.45/-",SETTLED
TXNA0DFE6102228,2026-07-15 07:59:35,"Rs. 82,289.62",SETTLED
TXNA0DFE6103310,2026-07-15 05:17:08,"8,64,498.85",SETTLED
TXNA0DFE6103658,2026-07-15 10:01:39,"1,39,653.88",SETTLED
TXNA0DFE6100725,2026-07-15 06:23:13,"15,808.39/-",SETTLED
TXNA0DFE6100533,2026-07-15 06:13:57,"Rs. 4,82,840.22",SETTLED
TXNA0DFE6102641,2026-07-15 15:50:04,"7,56,374.89",SETTLED
TXNA0DFE6103503,2026-07-15 13:56:29,"8,34,933.96",SETTLED
TXNA0DFE6102074,2026-07-15 09:47:44,"6,18,536.28/-",SETTLED
TXNA0DFE6100507,2026-07-15 15:02:31,"Rs. 1,38,863.65",SETTLED
TXNA0DFE6101014,2026-07-15 09:26:27,"2,25,443.90",SETTLED
TXNA0DFE6102971,2026-07-15 02:49:55,"72,884.97",SETTLED
TXNA0DFE6100082,2026-07-15 09:01:21,"7,05,937.41/-",SETTLED
TXNA0DFE6101385,2026-07-15 14:13:50,"Rs. 2,43,504.76",SETTLED
TXNA0DFE6101373,2026-07-15 04:58:19,"7,44,299.60",SETTLED
TXNA0DFE6400001-1,2026-07-15 07:52:00,"2,76,956.26",SETTLED
TXNA0DFE6102294,2026-07-15 06:57:21,"8,43,426.68/-",SETTLED
TXNA0DFE6100052,2026-07-15 06:28:18,"Rs. 2,96,211.22",SETTLED
TXNA0DFE6100312,2026-07-15 06:17:20,"3,28,018.97",SETTLED
TXNA0DFE6100866,2026-07-15 00:37:16,"3,29,169.15",SETTLED
TXNA0DFE6102105,2026-07-15 13:04:50,"7,87,285.07/-",SETTLED
TXNA0DFE6102902,2026-07-15 02:15:40,"Rs. 4,17,147.84",SETTLED
TXNA0DFE6102176,2026-07-15 05:32:04,"3,80,629.79",SETTLED
TXNA0DFE6101366,2026-07-15 00:41:50,"5,47,122.02",SETTLED
TXNA0DFE6101412,2026-07-15 06:03:23,"4,01,318.93/-",SETTLED
TXNA0DFE6102411,2026-07-15 10:27:37,"Rs. 6,67,467.40",SETTLED
TXNA0DFE6101121,2026-07-15 10:40:06,"8,24,847.09",SETTLED
TXNA0DFE6103134,2026-07-15 09:44:04,"1,49,126.69",SETTLED
TXNA0DFE6100728,2026-07-15 11:33:50,"7,93,038.59/-",SETTLED
TXNA0DFE6100574,2026-07-15 14:16:51,"Rs. 49,981.58",SETTLED
TXNA0DFE6101482,2026-07-15 10:14:20,"5,76,565.74",SETTLED
TXNA0DFE6103042,2026-07-15 13:00:35,"77,073.35",SETTLED
TXNA0DFE6100513,2026-07-15 10:57:19,"3,71,908.92/-",SETTLED
TXNA0DFE6100269,2026-07-15 00:37:33,"Rs. 2,96,399.93",SETTLED
TXNA0DFE6103319,2026-07-15 05:46:47,"7,58,123.29",SETTLED
TXNA0DFE6103325,2026-07-15 07:28:10,"55,679.10",SETTLED
TXNA0DFE6101820,2026-07-15 09:22:05,"3,25,292.44/-",SETTLED
TXNA0DFE6100397,2026-07-15 00:33:40,"Rs. 6,42,410.01",SETTLED
TXNA0DFE6102146,2026-07-15 07:17:54,"85,119.92",SETTLED
TXNA0DFE6100907,2026-07-15 03:15:12,"66,213.78",SETTLED
TXNA0DFE6101676,2026-07-15 05:18:57,"4,25,090.63/-",SETTLED
TXNA0DFE6103124,2026-07-15 02:06:26,"Rs. 4,80,406.27",SETTLED
TXNA0DFE6101733,2026-07-15 04:25:27,"29,463.65",SETTLED
TXNA0DFE6102021,2026-07-15 14:31:09,"87,402.78",SETTLED
TXNA0DFE6101086,2026-07-15 02:09:31,"8,93,532.67/-",SETTLED
TXNA0DFE6100407,2026-07-15 02:50:00,"Rs. 5,20,138.43",SETTLED
TXNA0DFE6103387,2026-07-15 13:54:00,"6,89,315.57",SETTLED
TXNA0DFE6102853,2026-07-15 11:56:56,"2,65,240.19",SETTLED
TXNA0DFE6101605,2026-07-15 01:36:39,"4,53,693.19/-",SETTLED
TXNA0DFE6100022,2026-07-15 02:01:56,"Rs. 2,48,947.86",SETTLED
TXNA0DFE6100741,2026-07-15 12:43:55,"2,79,653.44",SETTLED
TXNA0DFE6100242,2026-07-15 11:39:47,"4,88,092.67",SETTLED
TXNA0DFE6100665,2026-07-15 15:35:05,"4,27,966.67/-",SETTLED
TXNA0DFE6102890,2026-07-15 10:36:28,"Rs. 7,55,644.99",SETTLED
TXNA0DFE6103329,2026-07-15 06:28:04,"2,56,202.29",SETTLED
TXNA0DFE6101215,2026-07-15 13:57:44,"8,32,606.16",SETTLED
TXNA0DFE6103208,2026-07-15 07:25:03,"23,479.40/-",SETTLED
TXNA0DFE6102647,2026-07-15 01:25:16,"Rs. 3,17,582.69",SETTLED
TXNA0DFE6102733,2026-07-15 05:23:55,"6,66,171.30",SETTLED
TXNA0DFE6100427,2026-07-15 12:57:40,"2,53,728.23",SETTLED
TXNA0DFE6103166,2026-07-15 06:14:38,"5,03,744.05/-",SETTLED
TXNA0DFE6101097,2026-07-15 04:16:28,"Rs. 5,86,938.64",SETTLED
TXNA0DFE6100388,2026-07-15 15:24:25,"2,67,794.68",SETTLED
TXNA0DFE6101429,2026-07-15 15:48:44,"5,09,436.73",SETTLED
TXNA0DFE6101139,2026-07-15 11:59:30,"1,63,988.85/-",SETTLED
TXNA0DFE6102888,2026-07-15 07:36:34,"Rs. 6,10,068.76",SETTLED
TXNA0DFE6102104,2026-07-15 14:53:59,"2,92,525.79",SETTLED
TXNA0DFE6100439,2026-07-15 06:18:09,"3,03,371.11",SETTLED
TXNA0DFE6350005,2026-07-15 22:22:25,"78,677.01/-",SETTLED
TXNA0DFE6100674,2026-07-15 12:24:19,"Rs. 6,26,693.55",SETTLED
TXNA0DFE6103022,2026-07-15 01:09:48,"3,60,688.79",SETTLED
TXNA0DFE6103664,2026-07-15 02:51:53,"3,82,763.45",SETTLED
TXNA0DFE6100541,2026-07-15 14:11:34,"2,75,567.54/-",SETTLED
TXNA0DFE6102275,2026-07-15 07:58:27,"Rs. 2,74,094.43",SETTLED
TXNA0DFE6101502,2026-07-15 03:29:24,"31,668.47",SETTLED
TXNA0DFE6101634,2026-07-15 16:06:24,"4,08,865.99",SETTLED
TXNA0DFE6101217,2026-07-15 08:58:24,"8,81,897.11/-",SETTLED
TXNA0DFE6101585,2026-07-15 06:01:59,"Rs. 8,16,381.83",SETTLED
TXNA0DFE6103724,2026-07-15 08:15:40,"8,99,246.01",SETTLED
TXNA0DFE6102764,2026-07-15 10:57:02,"4,79,045.92",SETTLED
TXNA0DFE6101726,2026-07-15 06:50:18,"2,67,163.24/-",SETTLED
TXNA0DFE6100616,2026-07-15 14:53:54,"Rs. 1,33,093.62",SETTLED
TXNA0DFE6102789,2026-07-15 10:05:52,"1,95,087.20",SETTLED
TXNA0DFE6101517,2026-07-15 09:18:16,"2,44,321.63",SETTLED
TXNA0DFE6102669,2026-07-15 08:12:19,"7,88,093.28/-",SETTLED
TXNA0DFE6100478,2026-07-15 05:38:42,"Rs. 5,48,805.36",SETTLED
TXNA0DFE6102415,2026-07-15 08:42:57,"3,15,138.49",SETTLED
TXNA0DFE6102217,2026-07-15 10:08:03,"95,257.38",SETTLED
TXNA0DFE6102906,2026-07-15 05:59:42,"2,78,723.47/-",SETTLED
TXNA0DFE6101735,2026-07-15 10:24:06,"Rs. 2,73,221.97",SETTLED
TXNA0DFE6100504,2026-07-15 10:31:01,"8,12,012.62",SETTLED
TXNA0DFE6102962,2026-07-15 02:08:21,"5,47,470.34",SETTLED
TXNA0DFE6100463,2026-07-15 13:01:47,"3,26,774.17/-",SETTLED
TXNA0DFE6100645,2026-07-15 07:46:40,"Rs. 7,61,103.28",SETTLED
TXNA0DFE6103620,2026-07-15 05:42:13,"1,76,304.87",SETTLED
TXNA0DFE6101791,2026-07-15 02:11:21,"3,62,659.28",SETTLED
TXNA0DFE6103316,2026-07-15 04:45:08,"3,80,231.20/-",SETTLED
TXNA0DFE6102763,2026-07-15 09:37:17,"Rs. 1,71,776.46",SETTLED
TXNA0DFE6100350,2026-07-15 06:57:30,"6,57,431.13",SETTLED
TXNA0DFE6102741,2026-07-15 08:50:18,"1,71,586.53",SETTLED
TXNA0DFE6101202,2026-07-15 04:42:36,"6,93,478.74/-",SETTLED
TXNA0DFE6100985,2026-07-15 07:05:26,"Rs. 7,69,578.11",SETTLED
TXNA0DFE6101393,2026-07-15 15:33:07,"36,323.30",SETTLED
TXNA0DFE6103428,2026-07-15 10:41:03,"2,11,267.26",SETTLED
TXNA0DFE6100692,2026-07-15 13:54:55,"8,21,965.12/-",SETTLED
TXNA0DFE6103450,2026-07-15 11:53:50,"Rs. 6,33,165.10",SETTLED
TXNA0DFE6103417,2026-07-15 03:05:19,"76,466.93",SETTLED
TXNA0DFE6100812,2026-07-15 14:50:30,"2,54,732.87",SETTLED
TXNA0DFE6103488,2026-07-15 10:54:07,"4,83,992.58/-",SETTLED
TXNA0DFE6101018,2026-07-15 09:08:10,"Rs. 6,11,866.04",SETTLED
TXNA0DFE6101488,2026-07-15 13:21:05,"4,22,996.12",SETTLED
TXNA0DFE6101201,2026-07-15 09:14:32,"7,40,878.30",SETTLED
TXNA0DFE6103574,2026-07-15 05:38:30,"8,67,052.01/-",SETTLED
TXNA0DFE6101583,2026-07-15 07:55:40,"Rs. 5,84,257.30",SETTLED
TXNA0DFE6101869,2026-07-15 09:01:37,"1,82,272.85",SETTLED
TXNA0DFE6100663,2026-07-15 02:24:19,"8,70,526.20",SETTLED
TXNA0DFE6103496,2026-07-15 04:12:17,"3,41,458.93/-",SETTLED
TXNA0DFE6102214,2026-07-15 16:01:23,"Rs. 3,59,092.56",SETTLED
TXNA0DFE6100809,2026-07-15 01:59:01,"7,07,268.07",SETTLED
TXNA0DFE6100496,2026-07-15 02:40:24,"8,11,640.49",SETTLED
TXNA0DFE6103211,2026-07-15 01:01:42,"6,21,696.15/-",SETTLED
TXNA0DFE6100671,2026-07-15 14:07:42,"Rs. 3,35,845.10",SETTLED
TXNA0DFE6103665,2026-07-15 06:10:56,"4,70,707.62",SETTLED
TXNA0DFE6102644,2026-07-15 01:07:23,"2,28,598.43",SETTLED
TXNA0DFE6103782,2026-07-15 16:02:45,"1,69,372.03/-",SETTLED
TXNA0DFE6101568,2026-07-15 07:01:07,"Rs. 2,88,134.04",SETTLED
TXNA0DFE6102388,2026-07-15 00:50:45,"5,73,717.40",SETTLED
TXNA0DFE6101755,2026-07-15 00:58:52,"14,316.12",SETTLED
TXNA0DFE6101527,2026-07-15 16:26:40,"5,49,965.63/-",SETTLED
TXNA0DFE6101222,2026-07-15 10:06:47,"Rs. 90,410.43",SETTLED
TXNA0DFE6102889,2026-07-15 13:29:49,"6,60,347.76",SETTLED
TXNA0DFE6100143,2026-07-15 06:49:55,"4,01,854.48",SETTLED
TXNA0DFE6100145,2026-07-15 06:32:23,"8,50,111.25/-",SETTLED
TXNA0DFE6101740,2026-07-15 02:48:37,"Rs. 8,38,504.52",SETTLED
TXNA0DFE6102584,2026-07-15 04:50:59,"2,93,358.36",SETTLED
TXNA0DFE6101034,2026-07-15 12:07:03,"7,67,375.89",SETTLED
TXNA0DFE6103460,2026-07-15 05:13:57,"4,28,142.16/-",SETTLED
TXNA0DFE6103311,2026-07-15 15:49:19,"Rs. 2,06,685.16",SETTLED
TXNA0DFE6101805,2026-07-15 12:13:21,"8,00,957.03",SETTLED
TXNA0DFE6103600,2026-07-15 06:29:03,"73,658.14",SETTLED
TXNA0DFE6101213,2026-07-15 07:41:56,"8,53,424.04/-",SETTLED
TXNA0DFE6103122,2026-07-15 09:37:54,"Rs. 1,45,231.32",SETTLED
TXNA0DFE6101218,2026-07-15 03:52:01,"2,33,704.27",SETTLED
TXNA0DFE6103505,2026-07-15 11:59:46,"8,98,881.83",SETTLED
TXNA0DFE6103434,2026-07-15 02:39:13,"5,58,867.91/-",SETTLED
TXNA0DFE6102851,2026-07-15 12:50:59,"Rs. 7,70,203.97",SETTLED
TXNA0DFE6102784,2026-07-15 09:40:56,"1,38,922.46",SETTLED
TXNA0DFE6103170,2026-07-15 11:43:15,"4,23,189.05",SETTLED
TXNA0DFE6102514,2026-07-15 15:04:38,"3,35,315.37/-",SETTLED
TXNA0DFE6100071,2026-07-15 16:15:56,"Rs. 7,39,818.04",SETTLED
TXNA0DFE6101851,2026-07-15 13:32:02,"8,13,908.46",SETTLED
TXNA0DFE6102638,2026-07-15 03:01:09,"7,04,025.02",SETTLED
TXNA0DFE6102194,2026-07-15 08:46:50,"2,83,802.58/-",SETTLED
TXNA0DFE6100378,2026-07-15 11:07:50,"Rs. 2,05,918.35",SETTLED
TXNA0DFE6102790,2026-07-15 01:23:24,"6,61,599.26",SETTLED
TXNA0DFE6102097,2026-07-15 08:24:52,"3,35,160.98",SETTLED
TXNA0DFE6103261,2026-07-15 13:49:30,"6,91,335.32/-",SETTLED
TXNA0DFE6100091,2026-07-15 05:45:39,"Rs. 7,94,112.07",SETTLED
TXNA0DFE6101074,2026-07-15 08:09:45,"6,90,350.20",SETTLED
TXNA0DFE6100343,2026-07-15 03:18:55,"56,546.33",SETTLED
TXNA0DFE6103730,2026-07-15 11:34:01,"2,02,474.53/-",SETTLED
TXNA0DFE6103761,2026-07-15 08:45:44,"Rs. 2,74,160.37",SETTLED
TXNA0DFE6102185,2026-07-15 02:22:22,"7,91,873.68",SETTLED
TXNA0DFE6102939,2026-07-15 11:39:59,"3,03,040.99",SETTLED
TXNA0DFE6100345,2026-07-15 07:05:03,"1,40,665.80/-",SETTLED
TXNA0DFE6101021,2026-07-15 06:16:34,"Rs. 4,19,952.68",SETTLED
TXNA0DFE6100948,2026-07-15 13:06:46,"4,50,559.43",SETTLED
TXNA0DFE6101337,2026-07-15 04:14:12,"5,52,887.08",SETTLED
TXNA0DFE6100841,2026-07-15 14:18:45,"3,24,681.64/-",SETTLED
TXNA0DFE6101298,2026-07-15 02:45:26,"Rs. 5,46,544.53",SETTLED
TXNA0DFE6100348,2026-07-15 05:37:29,"8,35,855.64",SETTLED
TXNA0DFE6103744,2026-07-15 13:19:42,"6,86,775.97",SETTLED
TXNA0DFE6102885,2026-07-15 09:34:20,"4,88,812.68/-",SETTLED
TXNA0DFE6103181,2026-07-15 05:56:43,"Rs. 2,44,073.51",SETTLED
TXNA0DFE6103769,2026-07-15 03:23:20,"1,86,528.54",SETTLED
TXNA0DFE6100469,2026-07-15 14:00:12,"1,71,510.60",SETTLED
TXNA0DFE6101463,2026-07-15 05:07:17,"1,83,261.65/-",SETTLED
TXNA0DFE6101567,2026-07-15 13:15:17,"Rs. 5,23,897.57",SETTLED
TXNA0DFE6100823,2026-07-15 02:28:26,"3,36,032.62",SETTLED
TXNA0DFE6102055,2026-07-15 00:39:45,"6,93,565.29",SETTLED
TXNA0DFE6103104,2026-07-15 13:31:58,"7,13,685.01/-",SETTLED
TXNA0DFE6102573,2026-07-15 10:39:35,"Rs. 4,55,708.26",SETTLED
TXNA0DFE6101499,2026-07-15 04:54:52,"3,92,180.34",SETTLED
TXNA0DFE6103606,2026-07-15 01:26:07,"4,90,386.17",SETTLED
TXNA0DFE6100390,2026-07-15 02:00:26,"1,04,904.87/-",SETTLED
TXNA0DFE6101156,2026-07-15 06:55:35,"Rs. 2,96,156.31",SETTLED
TXNA0DFE6101081,2026-07-15 09:24:50,"4,46,992.74",SETTLED
TXNA0DFE6100610,2026-07-15 09:57:34,"7,95,068.32",SETTLED
TXNA0DFE6102688,2026-07-15 01:58:53,"6,47,136.57/-",SETTLED
TXNA0DFE6103695,2026-07-15 08:25:20,"Rs. 7,85,619.23",SETTLED
TXNA0DFE6103785,2026-07-15 08:05:16,"4,19,167.64",SETTLED
TXNA0DFE6101160,2026-07-15 07:04:44,"3,33,052.66",SETTLED
TXNA0DFE6100950,2026-07-15 12:45:28,"6,02,055.45/-",SETTLED
TXNA0DFE6103774,2026-07-15 13:59:49,"Rs. 6,38,636.05",SETTLED
TXNA0DFE6100799,2026-07-15 07:27:40,"4,99,342.44",SETTLED
TXNA0DFE6102001,2026-07-15 01:57:32,"3,71,172.35",SETTLED
TXNA0DFE6101270,2026-07-15 08:56:02,"7,99,652.99/-",SETTLED
TXNA0DFE6101659,2026-07-15 14:22:50,"Rs. 8,72,573.65",SETTLED
TXNA0DFE6101372,2026-07-15 08:18:01,"7,32,992.62",SETTLED
TXNA0DFE6103252,2026-07-15 12:25:08,"6,58,522.58",SETTLED
TXNA0DFE6101928,2026-07-15 12:36:21,"7,52,478.99/-",SETTLED
TXNA0DFE6100072,2026-07-15 06:22:57,"Rs. 7,18,150.63",SETTLED
TXNA0DFE6102627,2026-07-15 02:23:34,"5,21,511.09",SETTLED
TXNA0DFE6101929,2026-07-15 13:13:19,"3,04,178.78",SETTLED
TXNA0DFE6102014,2026-07-15 04:47:25,"5,15,433.48/-",SETTLED
TXNA0DFE6102277,2026-07-15 03:12:55,"Rs. 6,89,688.87",SETTLED
TXNA0DFE6102614,2026-07-15 12:07:37,"1,67,367.50",SETTLED
TXNA0DFE6101537,2026-07-15 08:00:54,"2,23,809.76",SETTLED
TXNA0DFE6100352,2026-07-15 06:35:00,"8,11,653.57/-",SETTLED
TXNA0DFE6101652,2026-07-15 03:14:51,"Rs. 6,53,783.90",SETTLED
TXNA0DFE6103660,2026-07-15 13:50:00,"2,31,247.33",SETTLED
TXNA0DFE6101206,2026-07-15 13:39:20,"6,27,542.03",SETTLED
TXNA0DFE6100521,2026-07-15 13:20:05,"2,41,244.81/-",SETTLED
TXNA0DFE6100683,2026-07-15 12:27:37,"Rs. 3,23,540.72",SETTLED
TXNA0DFE6101016,2026-07-15 15:36:58,"8,40,671.69",SETTLED
TXNA0DFE6101421,2026-07-15 14:01:06,"4,73,459.05",SETTLED
TXNA0DFE6100686,2026-07-15 16:00:04,"6,15,489.91/-",SETTLED
TXNA0DFE6102443,2026-07-15 06:03:23,"Rs. 6,21,969.35",SETTLED
TXNA0DFE6103618,2026-07-15 03:00:00,"5,08,154.89",SETTLED
TXNA0DFE6101494,2026-07-15 14:22:04,"7,20,119.28",SETTLED
TXNA0DFE6101450,2026-07-15 05:25:41,"6,84,276.23/-",SETTLED
TXNA0DFE6102541,2026-07-15 05:51:47,"Rs. 2,96,067.72",SETTLED
TXNA0DFE6102290,2026-07-15 10:40:14,"80,169.65",SETTLED
TXNA0DFE6101189,2026-07-15 01:13:09,"5,30,327.17",SETTLED
TXNA0DFE6400001-2,2026-07-15 07:53:00,"1,97,273.89/-",SETTLED
TXNA0DFE6102213,2026-07-15 15:16:18,"Rs. 1,27,982.27",SETTLED
TXNA0DFE6100937,2026-07-15 13:43:46,"67,243.22",SETTLED
TXNA0DFE6102531,2026-07-15 13:12:53,"2,79,651.33",SETTLED
TXNA0DFE6102500,2026-07-15 04:13:46,"72,881.41/-",SETTLED
TXNA0DFE6101003,2026-07-15 01:11:30,"Rs. 2,74,466.64",SETTLED
TXNA0DFE6102960,2026-07-15 11:48:32,"7,89,165.19",SETTLED
TXNA0DFE6101618,2026-07-15 01:54:05,"2,48,499.55",SETTLED
TXNA0DFE6300011,2026-07-14 22:31:47,"2,69,842.92/-",SETTLED
TXNA0DFE6102174,2026-07-15 13:10:18,"Rs. 2,76,434.10",SETTLED
TXNA0DFE6103095,2026-07-15 08:55:02,"4,72,902.64",SETTLED
TXNA0DFE6101522,2026-07-15 05:56:34,"74,416.79",SETTLED
TXNA0DFE6103697,2026-07-15 07:26:11,"7,31,663.22/-",SETTLED
TXNA0DFE6100754,2026-07-15 14:58:20,"Rs. 3,57,116.09",SETTLED
TXNA0DFE6100816,2026-07-15 05:14:14,"2,41,043.32",SETTLED
TXNA0DFE6101916,2026-07-15 10:44:25,"15,460.14",SETTLED
TXNA0DFE6102268,2026-07-15 03:09:06,"1,37,593.95/-",SETTLED
TXNA0DFE6100884,2026-07-15 14:54:00,"Rs. 2,04,652.49",SETTLED
TXNA0DFE6101452,2026-07-15 07:16:09,"2,75,307.04",SETTLED
TXNA0DFE6102482,2026-07-15 04:30:13,"3,46,519.02",SETTLED
TXNA0DFE6101814,2026-07-15 13:02:56,"76,342.52/-",SETTLED
TXNA0DFE6101399,2026-07-15 07:20:35,"Rs. 5,49,973.34",SETTLED
TXNA0DFE6102203,2026-07-15 10:53:18,"4,89,239.58",SETTLED
TXNA0DFE6103566,2026-07-15 10:22:43,"16,802.66",SETTLED
TXNA0DFE6103456,2026-07-15 08:55:48,"8,80,278.83/-",SETTLED
TXNA0DFE6101266,2026-07-15 04:57:30,"Rs. 7,44,937.90",SETTLED
